price,rsi,vol,DateTime
1070.40,37.9346,692,26/10/2018 16:05:00
1071.60,44.7598,719,26/10/2018 16:06:00
1070.60,40.7393,377,26/10/2018 16:07:00
1070.90,42.4105,272,26/10/2018 16:08:00
1070.00,38.8690,305,26/10/2018 16:09:00
1069.90,38.4845,309,26/10/2018 16:10:00
1068.90,34.7790,1185,26/10/2018 16:11:00
1069.70,39.7749,403,26/10/2018 16:12:00
1070.20,42.7276,337,26/10/2018 16:13:00
1069.40,39.3992,395,26/10/2018 16:14:00
1071.00,48.1061,501,26/10/2018 16:15:00
1071.30,49.5692,1332,26/10/2018 16:16:00
1070.70,46.7314,218,26/10/2018 16:17:00
1070.00,43.5957,434,26/10/2018 16:18:00
1069.50,41.4559,517,26/10/2018 16:19:00
1070.00,44.3951,699,26/10/2018 16:20:00
1070.00,44.3951,238,26/10/2018 16:21:00
1070.00,44.3951,235,26/10/2018 16:22:00
1069.80,43.3088,156,26/10/2018 16:23:00
1069.00,39.1793,540,26/10/2018 16:24:00
1069.60,43.5284,315,26/10/2018 16:25:00
1069.60,43.5284,314,26/10/2018 16:26:00
1068.90,39.6884,466,26/10/2018 16:27:00
1069.80,46.2534,250,26/10/2018 16:28:00
1068.60,40.0012,611,26/10/2018 16:29:00
1069.10,43.4323,743,26/10/2018 16:30:00
1069.00,42.9039,339,26/10/2018 16:31:00
1068.80,41.8082,353,26/10/2018 16:32:00
1066.50,31.7628,2390,26/10/2018 16:33:00
1067.00,35.3968,1304,26/10/2018 16:34:00
1066.80,34.6030,977,26/10/2018 16:35:00
1066.00,31.5546,1626,26/10/2018 16:36:00
1065.00,28.2093,2645,26/10/2018 16:37:00
1066.10,36.2195,1269,26/10/2018 16:38:00
1066.10,36.2195,817,26/10/2018 16:39:00
1065.80,34.9848,1217,26/10/2018 16:40:00
1065.50,33.7460,442,26/10/2018 16:41:00
1064.70,30.6310,526,26/10/2018 16:42:00
1065.10,33.9156,801,26/10/2018 16:43:00
1064.80,32.6663,525,26/10/2018 16:44:00
1063.00,26.3861,1441,26/10/2018 16:45:00
1063.00,26.3861,959,26/10/2018 16:46:00
1062.80,25.7482,569,26/10/2018 16:47:00
1062.80,25.7482,362,26/10/2018 16:48:00
1064.90,42.6360,735,26/10/2018 16:49:00
1064.40,40.2866,1005,26/10/2018 16:50:00
1065.10,33.9156,801,26/10/2018 16:43:00
1064.80,32.6663,525,26/10/2018 16:44:00
1063.00,26.3861,1441,26/10/2018 16:45:00
1063.00,26.3861,959,26/10/2018 16:46:00
1062.80,25.7482,569,26/10/2018 16:47:00
1062.80,25.7482,362,26/10/2018 16:48:00
1064.90,42.6360,735,26/10/2018 16:49:00
1064.40,40.2866,1005,26/10/2018 16:50:00
1063.90,38.0298,605,26/10/2018 16:51:00
1063.70,37.1337,739,26/10/2018 16:52:00
1062.70,32.9528,1098,26/10/2018 16:53:00
1061.50,28.7671,2695,26/10/2018 16:54:00
1067.00,56.2171,3736,29/10/2018 09:45:00
1066.00,52.2729,1102,29/10/2018 09:46:00
1066.10,52.6308,511,29/10/2018 09:47:00
1068.10,59.2179,1018,29/10/2018 09:48:00
1067.80,57.9169,547,29/10/2018 09:49:00
1068.00,58.5703,837,29/10/2018 09:50:00
1067.00,54.0510,520,29/10/2018 09:51:00
1067.50,55.8839,680,29/10/2018 09:52:00
1066.70,52.2898,335,29/10/2018 09:53:00
1067.00,53.4976,307,29/10/2018 09:54:00
1067.90,57.0134,487,29/10/2018 09:55:00
1068.50,59.2266,431,29/10/2018 09:56:00
1068.40,58.6843,334,29/10/2018 09:57:00
1068.00,56.4575,398,29/10/2018 09:58:00
1069.50,62.2435,1023,29/10/2018 09:59:00
1069.90,63.6314,1851,29/10/2018 10:00:00
1073.00,72.1695,2297,29/10/2018 10:01:00
1073.90,74.0726,2221,29/10/2018 10:02:00
1075.70,77.4010,2280,29/10/2018 10:03:00
1075.20,74.5385,2482,29/10/2018 10:04:00
1074.90,72.7989,1167,29/10/2018 10:05:00
1074.40,69.8719,1316,29/10/2018 10:06:00
1074.60,70.3849,399,29/10/2018 10:07:00
1074.30,68.5010,579,29/10/2018 10:08:00
1074.30,68.5010,943,29/10/2018 10:09:00
1075.00,70.6284,426,29/10/2018 10:10:00
1074.80,69.1905,890,29/10/2018 10:11:00
1074.80,69.1905,356,29/10/2018 10:12:00
1074.10,63.9093,504,29/10/2018 10:13:00
1075.10,67.7020,600,29/10/2018 10:14:00
1074.80,65.4789,267,29/10/2018 10:15:00
1074.70,64.7161,357,29/10/2018 10:16:00
1075.40,67.5647,459,29/10/2018 10:17:00
1075.60,68.3509,2113,29/10/2018 10:18:00
1076.30,71.0004,790,29/10/2018 10:19:00
1075.50,64.3683,421,29/10/2018 10:20:00
1075.60,64.8108,254,29/10/2018 10:21:00
1076.10,67.0163,420,29/10/2018 10:22:00
1076.00,66.1237,417,29/10/2018 10:23:00
1075.60,62.5356,253,29/10/2018 10:24:00
1075.80,63.5992,116,29/10/2018 10:25:00
